sample_id,pH,Cond,DOC,Ca,Mg,Na,K,SO4,Cl,NO3,TON,Altot,Zn,Mn,Fe,SiO2,Alkal
8.21,4.93,12.86667,NA,24.5,14,30.25,2.175,43.7,31.93333,3.25,NA,110,3,8,98.33333,1075,NA
80.11,4.73,41.1,2.66667,47.6,49.15,192.475,8.5675,104.96,179.4,10.725,460,198,17,25,80,NA,NA
81.21,4.522,33.3,5.36667,45.4,38.025,108.4,6.84,104.96,109.42,10.875,452.5,235,15.33333,29,100,1700,NA
82.11,4.619,21.42857,4.96667,27.77143,19.18333,44.93333,2.68833,56.8,48.34286,5,245,160.4286,11,10.33333,147,1175,NA
83.11,4.945,16.24444,1.06,10.11111,19.325,65.675,2.6225,31.23333,75.21111,7.7625,158.75,108.3333,9.4,5,471.2,350,NA
86.11,4.89,22.62222,5.46,86.53333,28.44286,37.675,5.56125,105.7556,37.91111,6.5125,343.75,169.5556,19.2,84,199,2000,NA
87.21,5.141,12.8,2.8,39.3,16.025,29.8,3.0025,56.22,24.84,4.625,230,74,14,16,46.66667,1100,NA
88.21,5.26,8.96667,1,24.13333,9.9,21.3,2.815,38.2,17.83333,8.25,NA,123.3333,14,17,60,900,NA
89.11,5.766,16.74286,0.96667,47.25714,27.15,66.98333,3.92167,42.55714,71.71429,6.53333,132.5,23,5.2,8.25,24,750,NA
9.11,4.676,20.11111,2.2,22.04444,16.7625,32.25,5.115,72.88889,27.9,9.475,370,111.3333,14,103.3333,127.5,475,NA
ACH1,5.101,32.25,2.75,37.5,28,192.5,5.5,42.66667,212.3333,1.66667,NA,17,NA,NA,NA,NA,4.3325
ARR1,6.179,35,2.16667,40.4,49.4,193,13.6,43,219.75,3.6,NA,26,NA,NA,NA,NA,56.904
ARTH1,7.093,101.05,4.6,395.6667,166.6333,328.4333,29.89667,244.7667,428.6,44.86667,250,133.3333,6,22.5,16,1650,315.93
BARE1,6.748,147.3333,6.6,241.4727,207.2455,369.76,15.99364,261.3091,684.65,20.35,180,73.27273,4,46.5,66,2638.7,279.285
BARL1,6.43,34.25,2.05,116.125,55.8,127.875,5.37,69,148.1,NA,NA,53.33333,24.5,3.5,43,300,97.905
BER1,4.33,58.26923,NA,41.14,50,261.496,6.45792,165.4462,234.16,NA,NA,125.36,18.20833,480.36,229.4,468,0.11077
BODG1,6.53,75.66667,1.9,214.4,99.43333,267.5,9.29333,175.7,291.5,NA,400,54.33333,44,19,18.66667,733.3333,103.4333
BODL1,5.38,31.75,1.225,48.65,45.275,150.075,5.885,72.6,176.325,NA,200,52.25,17.66667,31.25,9.33333,350,3.165
BREC1,6.596,77,NA,189.15,116.8,262.1,4.985,188.4,437.25,15.35,90,235,13.5,17,180,1550,83.385
BUGE1,4.84,52.75,4.55,46.775,51.25,152,5.11667,78.9,232.725,NA,NA,117,26,25.75,383.75,650,3.5475
BURNMT1,6.4,45.65,0.17,87.5,61.5,183,9.5,89,203,11,NA,12,NA,NA,NA,1930,NA
BYCH1,6.44,55.25,1.8,154.2,115.925,228.475,9.97,111.625,260.95,NA,200,15,55,12.5,16.33333,700,144.795
CFYN1,5.47,26.75,1.15,35.275,27.5,108.425,5.54,48.775,112.8,NA,NA,33.5,15.33333,17.25,20,200,8.2775
CHN1,5.144,38.5,2.25,78.5,48.5,173.5,7.5,85.75,207,16.75,NA,93,NA,NA,NA,NA,4.355
CLON1,6.942,152.75,6.6,416.5,337.3,671.7333,40.77667,352.4333,838.7333,64.2,NA,158.3333,3,123.5,116,2850,360.68
CLYD1,6.14,29.25,0.475,55.9,48,123.9,10.615,65.75,133.975,NA,200,16.25,13.66667,6.25,5,475,33.9275
CON1,4.82,33,2.125,41.775,36.275,134.625,6.65,69.7,155.15,NA,NA,65.75,29.5,93.75,82.25,250,NA
COR1,5.328,17.75,0.2,28.75,19.75,67,7.75,47.33333,81.66667,17,NA,150.3333,NA,NA,NA,NA,13.735
CWBY1,5.15,38,1.375,55.65,48.775,181.6,8.185,99.7,183.375,NA,250,131,38.5,54.75,20.25,550,2.445
DEVOKE1,6.1,57.75,0.77,116,83,229,10.5,126,269,15,NA,18,NA,NA,NA,1500,NA
DIWA1,5.72,27.25,1,46.275,39.15,129.85,6.39667,62.3,141.025,NA,NA,46.66667,16.66667,12.75,11.25,525,11.345
DOI1,5.899,43.83333,2.4,54,60.5,238.6667,12.5,70.6,277,6.4,NA,54.66667,NA,NA,NA,NA,15.43
DOON1,5.237,46.95,3.7,69.4,77.5,193.25,10.36,116.35,225.35,15.05,100,125,NA,NA,NA,NA,31.35
DUH1,5.134,20,1.36667,30,24,82.25,6,59.75,76.75,13,NA,137.6667,NA,NA,NA,NA,2.06
DUL1,5.16,35.4,1.6,44.04286,54.32857,168.0857,8.0575,83,189.8143,NA,400,107.2,22,30,12.75,668.5714,0.41143
ENO1,4.543,32.66667,1.1,12.50909,23.40909,86.07273,5.56818,50.72727,136.2,7.325,105,74.90909,10.5,12.4,22.9,392.8,NA
EUN1,4.952,22.33333,0.45,29.66667,26.33333,82.33333,5.66667,62.33333,75.66667,27,NA,256.3333,NA,NA,NA,NA,NA
FERN1,6.807,119.75,8.7,369.5,231.1333,385.1333,54.07,283.15,498.1,91.46667,170,173.3333,6.5,601.5,837.5,7000,303.225
FHI1,5.283,52.4,1,51.2,73,277.8,12.8,106.6667,301.6667,12.66667,NA,255.4,NA,NA,NA,NA,1.406
FINL1,5.756,49.55,3.6,80.4,68.7,247.8333,12.65,112.2333,246.0667,4.23333,20,312.5,2,45,87,1750,52.285
FLE1,4.538,39.8,4,28.82,30.05,95.2,4.988,79.46667,133.925,12.7,NA,133.5,22,190.7778,70.77778,595.6667,NA
GARN1,6.25,36.75,1.275,112.925,46.075,153,9.0175,90.05,176.325,NA,NA,33.25,9.75,4.25,9,325,41.8925
GEIR1,6.76,75,1.65,226.05,111.65,253.55,10.865,196.75,296.2,NA,400,36,719,13,31.5,950,138.21
GLAS1,6.24,28.25,0.5,71.25,43.35,130.05,7.8025,57.3,126.925,NA,366.6667,13,18.5,NA,3.5,850,33.445
GLFR1,6.9,99,5.7,390.7,143.1,372.8,35.81,93.7,479.5,NA,NA,26,8,NA,58,NA,394.21
GLYN1,4.92,32.75,1.225,39.65,58.9,150.6,7.355,92.875,148.075,NA,NA,90.25,16.66667,69.5,59,400,NA
GOD1,5.66,60.5,1.6,102.05,99.5,297.5,6.7125,128.875,338.5,NA,350,68,40,20.5,18.5,766.6667,26.57
GREENT1,5.2,44.7,0.12,47,57.5,181.5,6,83.5,203.5,10,NA,117,NA,NA,NA,1430,NA
GULSPET1,4.83,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA
GWYN1,6.69,35.5,1.1,135,46.95,142.7,6.14,72.85,141.05,NA,200,23.5,12.5,11,6,550,100.09
GYN1,5.12,33.6,3.6,41.4,54.65,141.1,7.212,79.3,164.18,NA,NA,62.6,26.8,130.8,214.6,787.5,5.662
HARR1,5.019,36.15,1.7,43.76667,44.4,147.7667,6.15333,87.9,173.9,21,150,340,11.5,34.5,48.5,2900,16.735
HIR1,4.76,44.09091,NA,46.33636,50,170.0818,8.27682,120.45,216.7273,NA,NA,88.54545,20.59091,161.5455,60.63636,263.6364,NA
HOLET1,4.5,21.25,1.565,25.95,36,121.85,4.745,74.55,154.35,14,142,149,NA,NA,NA,NA,NA
HOLMEV1,4.7,19.05,NA,21.25,11.7,26.775,5.3725,56.475,28.45,NA,NA,NA,NA,NA,NA,NA,NA
HOWI1,5.641,67.675,3.4,150.3333,99.03333,250.5,8.53333,179.5667,341.1333,42.6,360,230.6667,18,27.5,24.5,3200,25.54
HOWI2,5.6,56,NA,130.7,85.6,201.8,5.37,185.3,289.4,NA,350,111,14,31,28,2100,5.276
INVA1,6.586,70.75,7.6,180.1,135.2667,202.2,10.89667,174.8667,262.3333,17.6,160,135,10.5,159,205.5,2100,97.735
IRD1,5.26,40,0.95,60.4,57.625,194.325,6.075,95.35,197.475,NA,250,65.5,12.5,28,9.5,450,2.0325
KIRR1,5.116,49.66667,NA,37.15,64.55,225.55,6.01,79.15,341.35,3.2,20,253.5,5.5,119,319.5,600,16.735
LAG1,5.24,30.8,2.35,60.49,47.86,165.15,4.215,63.075,198.4909,NA,200,78.25,12.5,48.75,46.75,323,1.29
LAI1,5.4,24.75,3.1,41.25,31,132,6.25,45.5,130,2.75,NA,24.33333,NA,NA,NA,NA,12.8125
LAR1,4.875,135.4,5.8,63.4,188.8,1004,24.44,120.75,947,2.66667,NA,61.33333,NA,NA,NA,NA,NA
LCSL1,5.18,36.5,0.53333,35.4,54.175,183.775,9.91,75.175,176.325,NA,300,102.5,21,37.5,9.75,1350,NA
LCSU1,5.35,33,0.45,35.9,56.55,185.3,10.87,83.6,155.15,NA,400,62.5,11.5,30,5.5,1350,3.77
LDE1,5.288,33.51,2.5,38.75,38.55,98.81,8.883,62.41,154.35,12.33333,NA,78.7,7,38.77778,35.55556,1128,42.83
LDE2,5.7,22,NA,38.9,38.7,85.7,4.35,54.6,83.2,NA,40,94,6,10,61,1100,2.899
LENY1,6.24,44.5,2.4,139,62.275,178.675,6.33,104.6,190.45,NA,366.6667,36.5,10.75,4,11.75,325,52.8075
LGR1,4.643,41.83333,5.5,31.66,30.64,106.93,5.487,75.27,190.85,11.1,140,193,17.5,167.2222,70.55556,1156.667,NA
LGR2,4.8,47,NA,35.4,39.5,134.8,5.12,80.4,151.5,NA,20,NA,NA,NA,NA,1900,NA
LJOSV1,4.41,41.95,0.54,14.55,39.4,138.35,4.445,78.55,180.55,21,250,145.5,NA,NA,NA,NA,NA
LLDU1,5.8,56.33333,1.66667,127.4,86.1,250.5333,9.80333,118.7667,291.5,NA,300,41,10,8,48.66667,533.3333,48.74667
LLGH1,4.642,40.375,3.4,36.1,44.63333,157.3333,6.60333,88.7,198.1,5.33333,80,146.6667,10,32,106.5,1700,11.42
LOD1,5.547,29,2.75,33.16667,40.16667,163,8,39.5,185.4,2.5,NA,43.33333,NA,NA,NA,NA,8.12333
LOWT1,5,42.95,0.67,48,46.5,159,6,80.5,172,18,NA,80,NA,NA,NA,1120,NA
MABE1,5.265,82.975,10.5,104.3667,129.6333,288.8333,10.13667,160.7333,329.9,9.13333,90,242.5,11,36,768,2900,24.1
MACA1,5.022,38.275,3.7,36.26667,49.56667,164.2667,8.2,78.43333,198.1,1.03333,NA,170,6.5,111,265,1600,15.675
MANN1,6.445,89.275,4,285.8333,175.6333,319.5,18.73333,195.6333,381.5333,46.6,200,206.6667,8,51,203.5,4150,165.64
MINN1,5.166,40,2.5,45.1,50.23333,157,7.52667,97.16667,184.9333,16.7,80,417.5,11,87,419,3050,44.01
MOAN1,5.064,60,5.7,82.73333,89.33333,257.7,7.33333,159.5667,334.6,4.03333,30,250,14.5,207,573.5,2250,13.55
MUCK1,5.417,62.625,9.7,90.56667,98.46667,259.1,9.25667,113.6667,319.6,NA,NA,262.5,11,87,419,2450,43.705
NAGA1,5.038,21.25,0.8,29.75,34.25,87.25,7.25,64.75,76.5,22.25,NA,129,NA,NA,NA,NA,NA
OCHI1,5.953,71.125,9.9,134.6333,142.2,278.6333,15.13,165.1,407.8667,11.9,30,185,8,22,224,1300,60.26
PARC1,6.8,81,1.1,208.6,159.7,336.2,9.72,234,394.9,NA,300,59,730,43,11,1300,112.51
PENR1,5.04,32.25,3.35,49.525,53.125,148,6.2025,80.325,148.1,NA,250,135.6667,12.33333,95.75,104.5,500,3.72
RIEC1,5.266,43.3,5.1,51.26667,62.83333,176,7.09333,96.4,227.3667,1,10,177.5,3,44,15,1500,45.065
RLGH1,4.718,33.49167,2.5,20.93,29.06,100.42,4.955,60.8,170.85,4.75,70,109.4,11.5,42.22222,36.33333,537.7778,NA
RLGH2,4.8,25,NA,19.5,27.1,91.3,4.09,60.8,107.2,NA,NA,156,7,27,111,500,NA
RONA1,6.532,98.33333,NA,246.8,175.15,430.85,22.635,183.25,598.05,7.85,110,130,5,41,53,1950,138.035
RO1,6.703,27.413,4.7575,66.4,35.85,42.5,7.8425,24.05,120.15,1.375,170,33.25,NA,NA,68,179,NA
S101,6.65,31.1,7.3,144,72,NA,14,82,21,2.3,309,106,NA,13,200,2760,119
S11,6.84,62.3,9.1,371,88,NA,15,165,82,2.7,431,62,NA,18,89,1130,239
S111,5.25,64.3,11.6,178,102,NA,20,224,206,5.6,581,302,NA,160,735,1270,3
S121,6.51,25.2,4.7,119,33,NA,10,92,24,1.4,262,39,NA,8,32,1340,65
S131,5.22,44,8.4,105,68,NA,14,151,129,3.1,470,135,NA,169,710,1130,2
S141,6.38,27.6,7.5,120,50,NA,12,81,27,2.3,330,94,NA,22,224,2900,72
S151,7.25,76.9,7.3,605,69,NA,37,55,48,0.8,654,38,NA,44,30,540,619
S161,6.4,44.4,8.8,175,87,NA,20,149,93,4.7,498,113,NA,58,220,1230,73
S171,5.81,78.7,3,258,117,NA,23,340,233,3.9,340,112,NA,70,35,890,13
S181,5.84,67.3,5.4,189,99,NA,16,240,230,4.5,578,91,NA,157,290,620,17
S191,5.03,58.3,12.1,97,95,NA,12,149,244,3.4,517,275,NA,67,529,1390,1
S201,5.49,22.8,6.1,63,34,NA,13,84,49,2.2,340,119,NA,59,241,660,1
S21,7.16,140.8,12.7,938,214,NA,35,227,161,6.9,722,75,NA,30,265,2810,903
S211,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S221,4.41,83,2.1,63,91,NA,12,205,348,9.6,332,546,NA,102,66,410,NA
S241,5.99,35.6,7.3,140,53,NA,11,133,79,5.9,396,110,NA,25,156,1230,21
S251,6.97,66.5,5.3,377,79,NA,11,178,127,5.6,362,66,NA,12,51,1140,237
S261,6.58,95.8,17,464,137,NA,24,237,265,16.6,982,140,NA,306,487,2820,220
S271,5.13,28.5,12.5,87,47,NA,10,101,54,2.1,409,280,NA,66,783,2260,NA
S281,4.94,24.4,6.6,59,33,NA,11,92,42,5.9,353,176,NA,71,267,1560,NA
S291,5.01,26.8,4.3,62,37,NA,10,112,52,4.9,303,139,NA,121,67,720,NA
S301,5.52,26.3,8.1,90,49,NA,12,99,48,2.6,386,141,NA,59,367,1000,5
S31,6.65,34.6,6.1,163,61,NA,13,108,58,3.4,319,54,NA,28,50,1130,82
S311,5.89,51.2,8,146,94,NA,13,168,168,4.8,425,201,NA,35,98,1990,18
S41,5.75,36.4,11.6,140,79,NA,15,137,57,4.9,486,171,NA,68,312,1690,20
S51,6.34,69.4,6.3,257,182,NA,24,285,112,6.2,489,33,NA,26,99,360,146
S61,5.97,66.9,14.9,183,83,NA,19,126,279,3.7,648,202,NA,37,425,1360,59
S71,6.46,42.6,15.4,221,78,NA,10,149,56,3,489,152,NA,30,424,2380,68
S81,6.7,25.3,3.4,129,59,NA,9,28,39,0.6,240,18,NA,9,79,1960,147
S91,6.2,82.7,14.3,312,161,NA,15,313,207,4.1,737,151,NA,167,463,1460,58
SCOATT1,5,42.8,0.48,38,50,166,8.5,62,196,24,NA,223,NA,NA,NA,1370,NA
SKAK1,5.846,64,NA,145.95,97.85,245.35,3.835,171.75,327.2,3.2,80,205,12.5,6.5,29.5,1050,58.59
SKAK2,5.8,49,NA,125.7,78.2,163.1,3.07,139.9,205.6,NA,10,63,14,24,73,700,41.932
SKE1,5.125,51.43333,6.5,112.9,71.95,186.4,8.06,134.3,256.55,9,NA,290,5,56,143,NA,62.83
SKE2,5.1,36,NA,66.4,52.6,140.9,3.84,72.7,141,NA,30,187,8,73,119,1300,NA
SKOMAKV1,4.67,19.7,NA,16.35,23.05,80.4,3.45,40.95,83.9,NA,NA,120.5,NA,NA,NA,NA,NA
STRO1,4.837,49.4,5.8,89.4,63.55,204.45,4.675,147.85,226.65,2.7,20,465,10,136,269,3800,37.69
TANN1,4.995,45,1.75,35.2,64.6,232.2,11.8,91,218.3333,19,NA,197.6,NA,NA,NA,NA,NA
TEAN1,5.7,16.3,NA,110,255,981,23,233,1160,7,NA,NA,NA,NA,NA,NA,12.04
TECW1,6.06,59,1.7,157.2,93,262.55,9.075,163.65,282.1,NA,500,26,7,16,27.5,200,36.54
TINK1,5.966,25.33333,3.6,78,35,101,6.66667,62.33333,101.6667,4,NA,24.16667,NA,NA,NA,NA,24.16667
TROO1,5.03,39.75,2.7,43.26667,50.13333,166.6,8.70667,96.23333,233.9,9.73333,50,241.6667,10,32,102,2050,11.42
UAI1,5.767,40.5,0.4,69,59.5,191,10,82,215,10,NA,112.5,NA,NA,NA,NA,14.79333
UIS1,6.209,33.6,4.75,67.8,49.2,191.2,16,46.75,166.75,2.25,NA,34,NA,NA,NA,NA,60.842
URR1,6.77,59.25,NA,166.5,129.9333,181.8,11.25,148.7333,247.2667,14.73333,130,227.6667,6.33333,23.66667,194,1933.333,60.52333
VAL1,4.688,33.05,2.6,17.65,23.75556,93.14,5.506,57.09,171.05,9.8,130,126.5,11,33.77778,31,494.6667,NA
VEREV1,4.49,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA
WHIN1,6.899,80,NA,316.1,115.95,278.4,15.475,140.55,363.9,6.1,120,215,4,15.5,38.5,1100,305.745
WHIN2,6.9,60,NA,292.4,86.4,182.7,6.91,90,197.4,NA,50,32,3,11,48,500,158.773
WHIT1,7.031,154,NA,244.64,157.2,305.59,16.402,161.37,640.0333,5.93333,30,70.7,3.5,33.2,52.6,2291.9,415.53
WOOD1,6.782,98.375,5.8,324.7667,239.0333,325.6667,16.48667,190.1,397.7,69.86667,440,138.3333,7.5,48,111,3450,278.175
WOOD2,6.9,77,NA,309.4,198.3,204.4,14.07,119.3,207,NA,190,78,5,146,253,2900,203.811
YBI1,5.13,34,1.225,53.06667,57.0625,195.6778,8.128,100.4,225.41,NA,200,134.75,24.11111,60.11111,19.44444,641,0.288
YGAD1,5.74,32,1.8,79.33333,42.13333,156.7333,8.61,73.56667,169.3,NA,NA,62,9,19,33,450,29.73
