pH,Cond,TOC,Ca,Mg,K,SO4,Cl,Equal,Altot
5.38,3.458,0.8,3.885,3.813,1.772,4.285,5.172,1.427,3.956
4.84,3.966,1.714,3.845,3.937,1.633,4.368,5.45,1.515,4.762
6.44,4.012,1.03,5.038,4.753,2.3,4.715,5.564,4.982,2.708
5.47,3.287,0.765,3.563,3.314,1.712,3.887,4.726,2.228,3.512
5.144,3.651,1.179,4.363,3.882,2.015,4.451,5.333,1.678,4.533
6.942,5.029,2.028,6.032,5.821,3.708,5.865,6.732,5.891,5.065
6.14,3.376,0.389,4.024,3.871,2.362,4.186,4.898,3.553,2.788
4.82,3.497,1.139,3.732,3.591,1.895,4.244,5.044,0,4.186
5.328,2.876,0.182,3.359,2.983,2.048,3.857,4.403,2.69,5.013
5.15,3.638,0.865,4.019,3.887,2.102,4.602,5.212,1.237,4.875
5.72,3.305,0.693,3.835,3.667,1.856,4.132,4.949,2.513,3.843
5.899,3.78,1.224,3.989,4.103,2.526,4.257,5.624,2.799,4.001
5.237,3.849,1.548,4.24,4.35,2.338,4.757,5.418,3.477,4.828
5.134,2.996,0.861,3.401,3.178,1.792,4.09,4.341,1.118,4.925
5.16,3.567,0.956,3.785,3.995,2.087,4.419,5.246,0.345,4.675
4.543,3.486,0.742,2.526,3.153,1.717,3.926,4.914,0,4.316
4.952,3.106,0.372,3.39,3.271,1.735,4.132,4.326,0,5.546
6.807,4.785,2.272,5.912,5.443,3.99,5.646,6.211,5.718,5.155
5.283,3.959,0.693,3.936,4.29,2.549,4.67,5.709,0.878,5.543
5.756,3.903,1.526,4.387,4.23,2.538,4.721,5.506,3.976,5.745
4.538,3.684,1.609,3.361,3.403,1.607,4.375,4.897,0,4.894
6.25,3.604,0.822,4.727,3.83,2.199,4.5,5.172,3.759,3.504
6.76,4.317,0.975,5.421,4.715,2.386,5.282,5.691,4.936,3.584
6.24,3.341,0.405,4.266,3.769,2.054,4.048,4.844,3.539,2.565
6.9,4.595,1.902,5.968,4.964,3.578,4.54,6.173,5.979,3.258
4.92,3.489,0.8,3.68,4.076,1.995,4.531,4.998,0,4.503
5.66,4.103,0.956,4.625,4.6,1.904,4.859,5.825,3.317,4.22
5.2,3.8,0.113,3.85,4.052,1.792,4.425,5.316,0,4.762
6.69,3.57,0.742,4.905,3.849,1.815,4.288,4.949,4.616,3.157
5.12,3.515,1.526,3.723,4.001,1.976,4.373,5.101,1.896,4.137
5.019,3.588,0.993,3.779,3.793,1.817,4.476,5.158,2.876,5.829
5.641,4.215,1.482,5.013,4.595,2.144,5.191,5.832,3.279,5.441
6.586,4.259,2.152,5.194,4.907,2.388,5.164,5.57,4.592,4.905
5.26,3.689,0.668,4.101,4.054,1.804,4.558,5.286,1.109,4.182
5.24,3.428,1.209,4.102,3.868,1.439,4.144,5.291,0.829,4.36
5.4,3.209,1.411,3.72,3.434,1.833,3.818,4.868,2.626,3.192
4.875,4.908,1.917,4.149,5.241,3.196,4.794,6.853,0,4.116
5.18,3.597,0.427,3.567,3.992,2.294,4.32,5.172,0,4.63
5.35,3.497,0.372,3.581,4.035,2.386,4.426,5.044,1.562,4.135
5.288,3.512,1.253,3.657,3.652,2.184,4.134,5.039,3.78,4.366
6.24,3.795,1.224,4.934,4.132,1.845,4.65,5.249,3.985,3.597
4.643,3.734,1.872,3.455,3.422,1.702,4.321,5.251,0,5.263
5.8,4.031,0.981,4.847,4.456,2.283,4.777,5.675,3.907,3.714
4.642,3.698,1.482,3.586,3.798,1.888,4.485,5.289,2.519,4.988
5.547,3.367,1.322,3.502,3.693,2.079,3.676,5.223,2.211,3.769
5,3.76,0.513,3.871,3.839,1.792,4.388,5.147,0,4.382
5.265,4.419,2.442,4.648,4.865,2.316,5.08,5.799,3.223,5.491
5.022,3.645,1.548,3.591,3.903,2.104,4.362,5.289,2.814,5.136
6.445,4.492,1.609,5.655,5.168,2.93,5.276,5.944,5.116,5.331
5.166,3.689,1.253,3.809,3.917,2.018,4.576,5.22,3.807,6.034
5.064,4.094,1.902,4.416,4.492,1.992,5.072,5.813,2.678,5.521
5.417,4.137,2.37,4.506,4.59,2.225,4.733,5.767,3.8,5.57
5.038,3.056,0.588,3.393,3.534,1.981,4.171,4.337,0,4.86
5.953,4.264,2.389,4.903,4.957,2.717,5.107,6.011,4.115,5.22
6.8,4.394,0.742,5.34,5.073,2.274,5.455,5.979,4.732,4.078
5.04,3.474,1.47,3.902,3.973,1.825,4.386,4.998,1.552,4.91
5.266,3.768,1.808,3.937,4.14,1.959,4.569,5.427,3.83,5.179
4.718,3.511,1.253,3.041,3.369,1.6,4.108,5.141,0,4.695
6.65,3.437,2.116,4.97,4.277,2.639,4.407,3.045,4.787,4.663
6.84,4.132,2.313,5.916,4.477,2.708,5.106,4.407,5.481,4.127
5.25,4.164,2.534,5.182,4.625,2.996,5.412,5.328,1.386,5.71
6.51,3.227,1.74,4.779,3.497,2.303,4.522,3.178,4.19,3.664
5.22,3.784,2.241,4.654,4.22,2.639,5.017,4.86,1.099,4.905
6.38,3.318,2.14,4.787,3.912,2.485,4.394,3.296,4.29,4.543
7.25,4.343,2.116,6.405,4.234,3.611,4.007,3.871,6.43,3.638
6.4,3.793,2.282,5.165,4.466,2.996,5.004,4.533,4.304,4.727
5.81,4.366,1.386,5.553,4.762,3.135,5.829,5.451,2.639,4.718
5.84,4.209,1.856,5.242,4.595,2.773,5.481,5.438,2.89,4.511
5.03,4.066,2.573,4.575,4.554,2.485,5.004,5.497,0.693,5.617
5.49,3.127,1.96,4.143,3.526,2.565,4.431,3.892,0.693,4.779
7.16,4.947,2.617,6.844,5.366,3.555,5.425,5.081,6.807,4.317
4.41,4.419,1.131,4.143,4.511,2.485,5.323,5.852,0,6.303
5.99,3.572,2.116,4.942,3.97,2.398,4.89,4.369,3.091,4.7
6.97,4.197,1.841,5.932,4.369,2.398,5.182,4.844,5.472,4.19
6.58,4.562,2.89,6.14,4.92,3.178,5.468,5.58,5.398,4.942
5.13,3.35,2.603,4.466,3.85,2.303,4.615,3.989,0,5.635
4.94,3.195,2.028,4.078,3.497,2.398,4.522,3.738,0,5.17
5.01,3.288,1.668,4.127,3.611,2.303,4.718,3.951,0,4.934
5.52,3.27,2.208,4.5,3.892,2.485,4.595,3.871,1.792,4.949
6.65,3.544,1.96,5.094,4.111,2.565,4.682,4.06,4.419,3.989
5.89,3.936,2.197,4.984,4.543,2.565,5.124,5.124,2.944,5.303
5.75,3.595,2.534,4.942,4.369,2.708,4.92,4.043,3.045,5.142
6.34,4.24,1.988,5.549,5.204,3.178,5.652,4.718,4.99,3.497
5.97,4.203,2.766,5.209,4.419,2.944,4.836,5.631,4.094,5.308
6.46,3.752,2.797,5.398,4.357,2.303,5.004,4.025,4.234,5.024
6.7,3.231,1.482,4.86,4.078,2.197,3.332,3.664,4.997,2.89
6.2,4.415,2.728,5.743,5.081,2.708,5.746,5.333,4.078,5.017
5,3.757,0.392,3.638,3.912,2.14,4.127,5.278,0,5.407
5.125,3.94,2.015,4.727,4.276,2.087,4.9,5.547,4.156,5.67
4.837,3.9,1.917,4.493,4.152,1.542,4.996,5.423,3.656,6.142
4.995,3.807,1.012,3.561,4.168,2.468,4.511,5.386,0,5.286
6.06,4.078,0.993,5.058,4.533,2.206,5.098,5.642,3.625,3.258
5.966,3.232,1.526,4.357,3.555,1.897,4.132,4.622,3.226,3.185
5.03,3.683,1.308,3.767,3.915,2.164,4.567,5.455,2.519,5.488
5.767,3.701,0.336,4.234,4.086,2.303,4.407,5.371,2.76,4.723
6.209,3.515,1.749,4.217,3.896,2.773,3.845,5.116,4.125,3.526
4.688,3.498,1.281,2.871,3.168,1.706,4.045,5.142,0,4.84
6.782,4.589,1.917,5.783,5.477,2.803,5.248,5.986,5.632,4.93
5.13,3.526,0.8,3.972,4.044,2.095,4.609,5.418,0.253,4.903
5.74,3.466,1.03,4.374,3.741,2.153,4.298,5.132,3.425,4.127
