DatasetId;SiteId;SampleId;OriginalDiatomSampleId;TaxonId;Abun
SWAP;SWAP1.2;SWAP001;1.21;PE002A;2
SWAP;SWAP1.2;SWAP001;1.21;PI018A;1
SWAP;SWAP1.2;SWAP001;1.21;PI022B;3
SWAP;SWAP1.2;SWAP001;1.21;PI164A;6
SWAP;SWAP1.2;SWAP001;1.21;SE001A;18
SWAP;SWAP1.2;SWAP001;1.21;SU005A;1
SWAP;SWAP1.2;SWAP001;1.21;SU006A;2
SWAP;SWAP1.2;SWAP001;1.21;SY9999;1
SWAP;SWAP1.2;SWAP001;1.21;TA001A;5
SWAP;SWAP1.2;SWAP001;1.21;TA003A;59
SWAP;SWAP1.2;SWAP001;1.21;TA004A;13
SWAP;SWAP1.2;SWAP001;1.21;UN9999;60
SWAP;SWAP10.2;SWAP002;10.21;AC013A;24
SWAP;SWAP10.2;SWAP002;10.21;AC014C;6
SWAP;SWAP10.2;SWAP002;10.21;AC019A;7
SWAP;SWAP10.2;SWAP002;10.21;AC024A;1
SWAP;SWAP10.2;SWAP002;10.21;AC029A;1
SWAP;SWAP10.2;SWAP002;10.21;AU9999;8
SWAP;SWAP10.2;SWAP002;10.21;BR001A;127
SWAP;SWAP10.2;SWAP002;10.21;BR004A;2
SWAP;SWAP10.2;SWAP002;10.21;BR006A;50
SWAP;SWAP10.2;SWAP002;10.21;CM010A;5
SWAP;SWAP10.2;SWAP002;10.21;CM015A;3
SWAP;SWAP10.2;SWAP002;10.21;CM017A;3
SWAP;SWAP10.2;SWAP002;10.21;CM031C;6
SWAP;SWAP10.2;SWAP002;10.21;CY9991;46
SWAP;SWAP10.2;SWAP002;10.21;EU002A;3
SWAP;SWAP10.2;SWAP002;10.21;EU002B;3
SWAP;SWAP10.2;SWAP002;10.21;EU003A;1
SWAP;SWAP10.2;SWAP002;10.21;EU004A;13
SWAP;SWAP10.2;SWAP002;10.21;EU009A;10
SWAP;SWAP10.2;SWAP002;10.21;EU009F;1
SWAP;SWAP10.2;SWAP002;10.21;EU020A;5
SWAP;SWAP10.2;SWAP002;10.21;EU047A;17
SWAP;SWAP10.2;SWAP002;10.21;EU048A;4
SWAP;SWAP10.2;SWAP002;10.21;EU051A;1
SWAP;SWAP10.2;SWAP002;10.21;EU9999;1
SWAP;SWAP10.2;SWAP002;10.21;FR005D;27
SWAP;SWAP10.2;SWAP002;10.21;FU002A;16
SWAP;SWAP10.2;SWAP002;10.21;FU002B;62
SWAP;SWAP10.2;SWAP002;10.21;GO004A;3
SWAP;SWAP10.2;SWAP002;10.21;GO006A;1
SWAP;SWAP10.2;SWAP002;10.21;NA003A;26
SWAP;SWAP10.2;SWAP002;10.21;NA039A;1
SWAP;SWAP10.2;SWAP002;10.21;NA044A;2
SWAP;SWAP10.2;SWAP002;10.21;NA135A;3
SWAP;SWAP10.2;SWAP002;10.21;NA160A;1
SWAP;SWAP10.2;SWAP002;10.21;NA167A;20
SWAP;SWAP10.2;SWAP002;10.21;NA9999;3
SWAP;SWAP10.2;SWAP002;10.21;NE003A;3
SWAP;SWAP10.2;SWAP002;10.21;NI009A;4
SWAP;SWAP10.2;SWAP002;10.21;NI017A;1
SWAP;SWAP10.2;SWAP002;10.21;NI152A;6
SWAP;SWAP10.2;SWAP002;10.21;PE002A;9
SWAP;SWAP10.2;SWAP002;10.21;PI008A;3
SWAP;SWAP10.2;SWAP002;10.21;PI018A;7
SWAP;SWAP10.2;SWAP002;10.21;PI024A;2
SWAP;SWAP10.2;SWAP002;10.21;SA9999;1
SWAP;SWAP10.2;SWAP002;10.21;SU005A;4
SWAP;SWAP10.2;SWAP002;10.21;SU006A;3
SWAP;SWAP10.2;SWAP002;10.21;SY009A;1
SWAP;SWAP10.2;SWAP002;10.21;SY043A;4
SWAP;SWAP10.2;SWAP002;10.21;TA001A;22
SWAP;SWAP10.2;SWAP002;10.21;TA004A;2
SWAP;SWAP10.2;SWAP002;10.21;UN9999;6
SWAP;SWAP1;SWAP003;11;AT001A;2
SWAP;SWAP1;SWAP003;11;AU9999;1
SWAP;SWAP1;SWAP003;11;BR001A;1
SWAP;SWAP1;SWAP003;11;BR003A;15
SWAP;SWAP1;SWAP003;11;BR004A;7
SWAP;SWAP1;SWAP003;11;BR006A;40
SWAP;SWAP1;SWAP003;11;BR9997;11
SWAP;SWAP1;SWAP003;11;CM010A;7
SWAP;SWAP1;SWAP003;11;CM017A;6
SWAP;SWAP1;SWAP003;11;CM9999;5
SWAP;SWAP1;SWAP003;11;EU009A;4
SWAP;SWAP1;SWAP003;11;EU011A;9
SWAP;SWAP1;SWAP003;11;EU014A;1
SWAP;SWAP1;SWAP003;11;EU019A;2
SWAP;SWAP1;SWAP003;11;EU020A;1
SWAP;SWAP1;SWAP003;11;EU031A;1
SWAP;SWAP1;SWAP003;11;EU047A;6
SWAP;SWAP1;SWAP003;11;EU048A;7
SWAP;SWAP1;SWAP003;11;EU051A;1
SWAP;SWAP1;SWAP003;11;EU057A;1
SWAP;SWAP1;SWAP003;11;EU9999;8
SWAP;SWAP1;SWAP003;11;FU002A;47
SWAP;SWAP1;SWAP003;11;FU002B;163
SWAP;SWAP1;SWAP003;11;NA006A;8
SWAP;SWAP1;SWAP003;11;NA033A;11
SWAP;SWAP1;SWAP003;11;NA099A;2
SWAP;SWAP1;SWAP003;11;NA140A;6
SWAP;SWAP1;SWAP003;11;NA156A;22
SWAP;SWAP1;SWAP003;11;NA167A;24
SWAP;SWAP1;SWAP003;11;NE001A;4
SWAP;SWAP1;SWAP003;11;NE003A;4
SWAP;SWAP1;SWAP003;11;NI9999;3
SWAP;SWAP1;SWAP003;11;PE002A;2
SWAP;SWAP1;SWAP003;11;PI011A;1
SWAP;SWAP1;SWAP003;11;PI015A;1
SWAP;SWAP1;SWAP003;11;PI018A;4
SWAP;SWAP1;SWAP003;11;PI056A;3
SWAP;SWAP1;SWAP003;11;PI9999;6
SWAP;SWAP1;SWAP003;11;SE001A;15
SWAP;SWAP1;SWAP003;11;SP002A;2
SWAP;SWAP1;SWAP003;11;SU006A;2
SWAP;SWAP1;SWAP003;11;TA001A;7
SWAP;SWAP1;SWAP003;11;TA003A;4
SWAP;SWAP1;SWAP003;11;TA004A;21
SWAP;SWAP1;SWAP003;11;UN9999;3
SWAP;SWAP111.1;SWAP004;111.11;AC013A;39
SWAP;SWAP111.1;SWAP004;111.11;AC014C;14
SWAP;SWAP111.1;SWAP004;111.11;AC022A;9
SWAP;SWAP111.1;SWAP004;111.11;AC024A;6
SWAP;SWAP111.1;SWAP004;111.11;AC027A;2
SWAP;SWAP111.1;SWAP004;111.11;AC029A;11
SWAP;SWAP111.1;SWAP004;111.11;AC044A;15
SWAP;SWAP111.1;SWAP004;111.11;AC082A;2
SWAP;SWAP111.1;SWAP004;111.11;AM018A;4
SWAP;SWAP111.1;SWAP004;111.11;BR001A;36
SWAP;SWAP111.1;SWAP004;111.11;BR006A;31
SWAP;SWAP111.1;SWAP004;111.11;CM004A;3
SWAP;SWAP111.1;SWAP004;111.11;CM010A;14
SWAP;SWAP111.1;SWAP004;111.11;CM048A;13
SWAP;SWAP111.1;SWAP004;111.11;CM9999;13
SWAP;SWAP111.1;SWAP004;111.11;CY9991;108
SWAP;SWAP111.1;SWAP004;111.11;EU002A;2
SWAP;SWAP111.1;SWAP004;111.11;EU004A;8
SWAP;SWAP111.1;SWAP004;111.11;EU009A;20
SWAP;SWAP111.1;SWAP004;111.11;EU013A;2
SWAP;SWAP111.1;SWAP004;111.11;EU020A;6
SWAP;SWAP111.1;SWAP004;111.11;EU047A;8
SWAP;SWAP111.1;SWAP004;111.11;EU048A;8
SWAP;SWAP111.1;SWAP004;111.11;FR005D;2
SWAP;SWAP111.1;SWAP004;111.11;FR007A;1
SWAP;SWAP111.1;SWAP004;111.11;FR9999;1
SWAP;SWAP111.1;SWAP004;111.11;FU002A;4
SWAP;SWAP111.1;SWAP004;111.11;FU002B;35
SWAP;SWAP111.1;SWAP004;111.11;GO9999;3
SWAP;SWAP111.1;SWAP004;111.11;NA003A;6
SWAP;SWAP111.1;SWAP004;111.11;NA006A;3
SWAP;SWAP111.1;SWAP004;111.11;NA011A;1
SWAP;SWAP111.1;SWAP004;111.11;NA014A;3
SWAP;SWAP111.1;SWAP004;111.11;NA032A;1
SWAP;SWAP111.1;SWAP004;111.11;NA042A;24
SWAP;SWAP111.1;SWAP004;111.11;NA115A;3
SWAP;SWAP111.1;SWAP004;111.11;NA156A;10
SWAP;SWAP111.1;SWAP004;111.11;NA167A;15
SWAP;SWAP111.1;SWAP004;111.11;NA9999;16
SWAP;SWAP111.1;SWAP004;111.11;NE003B;2
SWAP;SWAP111.1;SWAP004;111.11;NE020A;2
SWAP;SWAP111.1;SWAP004;111.11;NI002A;6
SWAP;SWAP111.1;SWAP004;111.11;NI008A;1
SWAP;SWAP111.1;SWAP004;111.11;NI009A;2
SWAP;SWAP111.1;SWAP004;111.11;NI152A;1
SWAP;SWAP111.1;SWAP004;111.11;PE002A;5
SWAP;SWAP111.1;SWAP004;111.11;PI002A;2
SWAP;SWAP111.1;SWAP004;111.11;PI014A;2
SWAP;SWAP111.1;SWAP004;111.11;PI016A;4
SWAP;SWAP111.1;SWAP004;111.11;PI018A;4
SWAP;SWAP111.1;SWAP004;111.11;PI020A;4
SWAP;SWAP111.1;SWAP004;111.11;PI022B;2
SWAP;SWAP111.1;SWAP004;111.11;PI9999;1
SWAP;SWAP111.1;SWAP004;111.11;SA001A;10
SWAP;SWAP111.1;SWAP004;111.11;SA006A;1
SWAP;SWAP111.1;SWAP004;111.11;SA042A;6
SWAP;SWAP111.1;SWAP004;111.11;SU006A;3
SWAP;SWAP111.1;SWAP004;111.11;TA001A;11
SWAP;SWAP111.1;SWAP004;111.11;TA003A;1
SWAP;SWAP111.1;SWAP004;111.11;TE001A;1
SWAP;SWAP111.1;SWAP004;111.11;UN9999;34
SWAP;SWAP113.2;SWAP005;113.21;AM001A;5
SWAP;SWAP113.2;SWAP005;113.21;BR001A;75
SWAP;SWAP113.2;SWAP005;113.21;BR004A;2
SWAP;SWAP113.2;SWAP005;113.21;CA002A;2
SWAP;SWAP113.2;SWAP005;113.21;CM010A;15
SWAP;SWAP113.2;SWAP005;113.21;CM015A;16
SWAP;SWAP113.2;SWAP005;113.21;CM017A;1
SWAP;SWAP113.2;SWAP005;113.21;CM031A;5
SWAP;SWAP113.2;SWAP005;113.21;CM038A;2
SWAP;SWAP113.2;SWAP005;113.21;CM048A;2
SWAP;SWAP113.2;SWAP005;113.21;EU002B;3
SWAP;SWAP113.2;SWAP005;113.21;EU004A;5
SWAP;SWAP113.2;SWAP005;113.21;EU009A;5
SWAP;SWAP113.2;SWAP005;113.21;EU015B;2
SWAP;SWAP113.2;SWAP005;113.21;EU017A;3
SWAP;SWAP113.2;SWAP005;113.21;EU020A;5
SWAP;SWAP113.2;SWAP005;113.21;EU047A;3
SWAP;SWAP113.2;SWAP005;113.21;EU049A;2
SWAP;SWAP113.2;SWAP005;113.21;EU051A;3
SWAP;SWAP113.2;SWAP005;113.21;EU054A;2
SWAP;SWAP113.2;SWAP005;113.21;FR005D;4
SWAP;SWAP113.2;SWAP005;113.21;FU002A;3
SWAP;SWAP113.2;SWAP005;113.21;FU002B;22
SWAP;SWAP113.2;SWAP005;113.21;GO003A;2
SWAP;SWAP113.2;SWAP005;113.21;NA006A;3
SWAP;SWAP113.2;SWAP005;113.21;NA032A;6
SWAP;SWAP113.2;SWAP005;113.21;NA042A;12
SWAP;SWAP113.2;SWAP005;113.21;NA156A;5
SWAP;SWAP113.2;SWAP005;113.21;NA167A;12
SWAP;SWAP113.2;SWAP005;113.21;NA9999;18
SWAP;SWAP113.2;SWAP005;113.21;NE003A;1
SWAP;SWAP113.2;SWAP005;113.21;NE004A;1
SWAP;SWAP113.2;SWAP005;113.21;NE020A;1
SWAP;SWAP113.2;SWAP005;113.21;NI002A;4
SWAP;SWAP113.2;SWAP005;113.21;NI008A;1
SWAP;SWAP113.2;SWAP005;113.21;NI009A;8
SWAP;SWAP113.2;SWAP005;113.21;NI009B;6
SWAP;SWAP113.2;SWAP005;113.21;NI021A;6
SWAP;SWAP113.2;SWAP005;113.21;NI027A;4
SWAP;SWAP113.2;SWAP005;113.21;PI014A;10
SWAP;SWAP113.2;SWAP005;113.21;PI164A;4
SWAP;SWAP113.2;SWAP005;113.21;SA001A;1
SWAP;SWAP113.2;SWAP005;113.21;SY010A;1
SWAP;SWAP113.2;SWAP005;113.21;SY077A;1
SWAP;SWAP113.2;SWAP005;113.21;TA001A;26
SWAP;SWAP113.2;SWAP005;113.21;UN9999;32
SWAP;SWAP115.1;SWAP006;115.11;AC019A;2
SWAP;SWAP115.1;SWAP006;115.11;AC024A;1
SWAP;SWAP115.1;SWAP006;115.11;AC025A;1
SWAP;SWAP115.1;SWAP006;115.11;AM018A;2
SWAP;SWAP115.1;SWAP006;115.11;AT001A;1
SWAP;SWAP115.1;SWAP006;115.11;AU004A;20
SWAP;SWAP115.1;SWAP006;115.11;AU005A;1
SWAP;SWAP115.1;SWAP006;115.11;AU005E;7
SWAP;SWAP115.1;SWAP006;115.11;BR001A;37
SWAP;SWAP115.1;SWAP006;115.11;BR002A;2
SWAP;SWAP115.1;SWAP006;115.11;BR003A;9
SWAP;SWAP115.1;SWAP006;115.11;BR004A;5
SWAP;SWAP115.1;SWAP006;115.11;BR006A;28
SWAP;SWAP115.1;SWAP006;115.11;CM004A;3
SWAP;SWAP115.1;SWAP006;115.11;CM010A;5
SWAP;SWAP115.1;SWAP006;115.11;CM017A;1
SWAP;SWAP115.1;SWAP006;115.11;CM031B;1
SWAP;SWAP115.1;SWAP006;115.11;CM048A;21
SWAP;SWAP115.1;SWAP006;115.11;CY9991;25
SWAP;SWAP115.1;SWAP006;115.11;EU002B;3
SWAP;SWAP115.1;SWAP006;115.11;EU004A;18
SWAP;SWAP115.1;SWAP006;115.11;EU007A;3
SWAP;SWAP115.1;SWAP006;115.11;EU009A;5
SWAP;SWAP115.1;SWAP006;115.11;EU015A;3
SWAP;SWAP115.1;SWAP006;115.11;EU020A;14
SWAP;SWAP115.1;SWAP006;115.11;EU032A;3
SWAP;SWAP115.1;SWAP006;115.11;EU039A;3
SWAP;SWAP115.1;SWAP006;115.11;EU047A;16
SWAP;SWAP115.1;SWAP006;115.11;EU048A;8
SWAP;SWAP115.1;SWAP006;115.11;FR003A;1
SWAP;SWAP115.1;SWAP006;115.11;FR005D;2
SWAP;SWAP115.1;SWAP006;115.11;FU002A;44
SWAP;SWAP115.1;SWAP006;115.11;FU002B;120
SWAP;SWAP115.1;SWAP006;115.11;NA006A;2
SWAP;SWAP115.1;SWAP006;115.11;NA014A;1
SWAP;SWAP115.1;SWAP006;115.11;NA032A;4
SWAP;SWAP115.1;SWAP006;115.11;NA044A;1
SWAP;SWAP115.1;SWAP006;115.11;NA156A;13
SWAP;SWAP115.1;SWAP006;115.11;NA167A;19
SWAP;SWAP115.1;SWAP006;115.11;NA9999;1
SWAP;SWAP115.1;SWAP006;115.11;NE003A;1
SWAP;SWAP115.1;SWAP006;115.11;NI008A;2
SWAP;SWAP115.1;SWAP006;115.11;NI009B;8
SWAP;SWAP115.1;SWAP006;115.11;NI021A;3
SWAP;SWAP115.1;SWAP006;115.11;PI003A;3
SWAP;SWAP115.1;SWAP006;115.11;PI005A;3
SWAP;SWAP115.1;SWAP006;115.11;PI008A;3
SWAP;SWAP115.1;SWAP006;115.11;PI011A;5
SWAP;SWAP115.1;SWAP006;115.11;PI015A;5
SWAP;SWAP115.1;SWAP006;115.11;PI028A;5
SWAP;SWAP115.1;SWAP006;115.11;PI9999;3
SWAP;SWAP115.1;SWAP006;115.11;SA001A;1
SWAP;SWAP115.1;SWAP006;115.11;SA042A;3
SWAP;SWAP115.1;SWAP006;115.11;SE001A;6
SWAP;SWAP115.1;SWAP006;115.11;SP002A;1
SWAP;SWAP115.1;SWAP006;115.11;SU005A;1
SWAP;SWAP115.1;SWAP006;115.11;SU006A;3
SWAP;SWAP115.1;SWAP006;115.11;TA001A;17
SWAP;SWAP115.1;SWAP006;115.11;UN9999;110
SWAP;SWAP12.1;SWAP007;12.11;AC014C;27
SWAP;SWAP12.1;SWAP007;12.11;AC022A;80
SWAP;SWAP12.1;SWAP007;12.11;AC044A;3
SWAP;SWAP12.1;SWAP007;12.11;AU005A;20
SWAP;SWAP12.1;SWAP007;12.11;AU005E;52
SWAP;SWAP12.1;SWAP007;12.11;BR001A;4
SWAP;SWAP12.1;SWAP007;12.11;BR003A;1
SWAP;SWAP12.1;SWAP007;12.11;BR006A;17
SWAP;SWAP12.1;SWAP007;12.11;CM004A;4
SWAP;SWAP12.1;SWAP007;12.11;CM017A;8
SWAP;SWAP12.1;SWAP007;12.11;CM031C;16
SWAP;SWAP12.1;SWAP007;12.11;CM048A;4
SWAP;SWAP12.1;SWAP007;12.11;CM9999;7
SWAP;SWAP12.1;SWAP007;12.11;CY9991;33
SWAP;SWAP12.1;SWAP007;12.11;CY9999;1
SWAP;SWAP12.1;SWAP007;12.11;EU009A;31
SWAP;SWAP12.1;SWAP007;12.11;EU013A;2
SWAP;SWAP12.1;SWAP007;12.11;EU020A;7
SWAP;SWAP12.1;SWAP007;12.11;EU039A;12
SWAP;SWAP12.1;SWAP007;12.11;EU047A;19
SWAP;SWAP12.1;SWAP007;12.11;EU048A;42
SWAP;SWAP12.1;SWAP007;12.11;FR9999;3
SWAP;SWAP12.1;SWAP007;12.11;FU002A;4
SWAP;SWAP12.1;SWAP007;12.11;FU002B;40
SWAP;SWAP12.1;SWAP007;12.11;NA006A;4
SWAP;SWAP12.1;SWAP007;12.11;NA044A;47
SWAP;SWAP12.1;SWAP007;12.11;NA156A;1
SWAP;SWAP12.1;SWAP007;12.11;NE020A;6
SWAP;SWAP12.1;SWAP007;12.11;NI009A;2
SWAP;SWAP12.1;SWAP007;12.11;PE002A;8
SWAP;SWAP12.1;SWAP007;12.11;PI015A;3
SWAP;SWAP12.1;SWAP007;12.11;PI018A;8
SWAP;SWAP12.1;SWAP007;12.11;PI022B;16
SWAP;SWAP12.1;SWAP007;12.11;PI9999;10
SWAP;SWAP12.1;SWAP007;12.11;SA042A;1
SWAP;SWAP12.1;SWAP007;12.11;SA9999;1
SWAP;SWAP12.1;SWAP007;12.11;SE001A;1
SWAP;SWAP12.1;SWAP007;12.11;SU005A;2
SWAP;SWAP12.1;SWAP007;12.11;SU006A;5
SWAP;SWAP12.1;SWAP007;12.11;SU9999;7
SWAP;SWAP12.1;SWAP007;12.11;SY9999;1
SWAP;SWAP12.1;SWAP007;12.11;TA001A;16
SWAP;SWAP12.1;SWAP007;12.11;TA003A;1
SWAP;SWAP12.1;SWAP007;12.11;UN9999;93
SWAP;SWAP12;SWAP008;121;AC014C;1
SWAP;SWAP12;SWAP008;121;AC022A;18
SWAP;SWAP12;SWAP008;121;AC9999;17
SWAP;SWAP12;SWAP008;121;AU004A;3
SWAP;SWAP12;SWAP008;121;BR003A;5
SWAP;SWAP12;SWAP008;121;CM017A;23
SWAP;SWAP12;SWAP008;121;CM9999;4
SWAP;SWAP12;SWAP008;121;EU004A;3
SWAP;SWAP12;SWAP008;121;EU009A;53
SWAP;SWAP12;SWAP008;121;EU014A;1
SWAP;SWAP12;SWAP008;121;EU015A;3
SWAP;SWAP12;SWAP008;121;EU022A;1
SWAP;SWAP12;SWAP008;121;EU039A;1
SWAP;SWAP12;SWAP008;121;EU047A;95
SWAP;SWAP12;SWAP008;121;EU048A;25
SWAP;SWAP12;SWAP008;121;EU9999;47
SWAP;SWAP12;SWAP008;121;FU002B;24
SWAP;SWAP12;SWAP008;121;NA006A;1
SWAP;SWAP12;SWAP008;121;NA033A;5
SWAP;SWAP12;SWAP008;121;NA099A;2
SWAP;SWAP12;SWAP008;121;NA156A;6
SWAP;SWAP12;SWAP008;121;NA167A;10
SWAP;SWAP12;SWAP008;121;NA9999;1
SWAP;SWAP12;SWAP008;121;NE001A;1
SWAP;SWAP12;SWAP008;121;NE003B;2
SWAP;SWAP12;SWAP008;121;PE002A;8
SWAP;SWAP12;SWAP008;121;PI011A;1
SWAP;SWAP12;SWAP008;121;PI018A;13
SWAP;SWAP12;SWAP008;121;PI022B;1
SWAP;SWAP12;SWAP008;121;PI051A;1
SWAP;SWAP12;SWAP008;121;PI9999;15
SWAP;SWAP12;SWAP008;121;SE001A;4
SWAP;SWAP12;SWAP008;121;SU006A;7
SWAP;SWAP12;SWAP008;121;TA001A;42
SWAP;SWAP12;SWAP008;121;TA003A;12
SWAP;SWAP12;SWAP008;121;TA004A;15
SWAP;SWAP12;SWAP008;121;UN9999;26
SWAP;SWAP15.1;SWAP009;15.11;AC013A;2
SWAP;SWAP15.1;SWAP009;15.11;AC014C;1
SWAP;SWAP15.1;SWAP009;15.11;AC022A;27
SWAP;SWAP15.1;SWAP009;15.11;AU005A;13
SWAP;SWAP15.1;SWAP009;15.11;BR001A;10
SWAP;SWAP15.1;SWAP009;15.11;BR006A;8
SWAP;SWAP15.1;SWAP009;15.11;CM014A;10
SWAP;SWAP15.1;SWAP009;15.11;CM017A;2
SWAP;SWAP15.1;SWAP009;15.11;CM048A;2
SWAP;SWAP15.1;SWAP009;15.11;CY9991;11
SWAP;SWAP15.1;SWAP009;15.11;EU002A;2
SWAP;SWAP15.1;SWAP009;15.11;EU002B;11
SWAP;SWAP15.1;SWAP009;15.11;EU002K;3
SWAP;SWAP15.1;SWAP009;15.11;EU004A;19
SWAP;SWAP15.1;SWAP009;15.11;EU009A;30
SWAP;SWAP15.1;SWAP009;15.11;EU015A;3
SWAP;SWAP15.1;SWAP009;15.11;EU020A;7
SWAP;SWAP15.1;SWAP009;15.11;EU020B;3
SWAP;SWAP15.1;SWAP009;15.11;EU046C;2
SWAP;SWAP15.1;SWAP009;15.11;EU047A;45
SWAP;SWAP15.1;SWAP009;15.11;EU048A;10
SWAP;SWAP15.1;SWAP009;15.11;EU051A;3
SWAP;SWAP15.1;SWAP009;15.11;EU9999;2
SWAP;SWAP15.1;SWAP009;15.11;FR001A;1
SWAP;SWAP15.1;SWAP009;15.11;FR005D;1
SWAP;SWAP15.1;SWAP009;15.11;FR9999;1
SWAP;SWAP15.1;SWAP009;15.11;FU002A;11
SWAP;SWAP15.1;SWAP009;15.11;FU002B;33
SWAP;SWAP15.1;SWAP009;15.11;GO003A;1
SWAP;SWAP15.1;SWAP009;15.11;NA003A;1
SWAP;SWAP15.1;SWAP009;15.11;NA006A;4
SWAP;SWAP15.1;SWAP009;15.11;NA043A;2
SWAP;SWAP15.1;SWAP009;15.11;NA099A;1
SWAP;SWAP15.1;SWAP009;15.11;NA156A;18
SWAP;SWAP15.1;SWAP009;15.11;NA167A;18
SWAP;SWAP15.1;SWAP009;15.11;NA9999;1
SWAP;SWAP15.1;SWAP009;15.11;NE003A;4
SWAP;SWAP15.1;SWAP009;15.11;NE004A;6
SWAP;SWAP15.1;SWAP009;15.11;NI009B;2
SWAP;SWAP15.1;SWAP009;15.11;PE002A;19
SWAP;SWAP15.1;SWAP009;15.11;PI011A;2
SWAP;SWAP15.1;SWAP009;15.11;PI014A;7
SWAP;SWAP15.1;SWAP009;15.11;PI018A;3
SWAP;SWAP15.1;SWAP009;15.11;PI018B;1
SWAP;SWAP15.1;SWAP009;15.11;PI9999;2
SWAP;SWAP15.1;SWAP009;15.11;SA019A;2
SWAP;SWAP15.1;SWAP009;15.11;SA042A;2
SWAP;SWAP15.1;SWAP009;15.11;SP002A;1
SWAP;SWAP15.1;SWAP009;15.11;SU006A;3
SWAP;SWAP15.1;SWAP009;15.11;SY9999;3
SWAP;SWAP15.1;SWAP009;15.11;TA001A;164
SWAP;SWAP15.1;SWAP009;15.11;TA003A;2
SWAP;SWAP15.1;SWAP009;15.11;TA004A;2
SWAP;SWAP15.1;SWAP009;15.11;UN9999;57
SWAP;SWAP17.2;SWAP010;17.21;AC013A;2
SWAP;SWAP17.2;SWAP010;17.21;AC022A;2
SWAP;SWAP17.2;SWAP010;17.21;AC027A;1
SWAP;SWAP17.2;SWAP010;17.21;AC115B;1
SWAP;SWAP17.2;SWAP010;17.21;AM001A;1
SWAP;SWAP17.2;SWAP010;17.21;AM018A;2
SWAP;SWAP17.2;SWAP010;17.21;AT001A;1
SWAP;SWAP17.2;SWAP010;17.21;AU005A;9
SWAP;SWAP17.2;SWAP010;17.21;AU005E;16
SWAP;SWAP17.2;SWAP010;17.21;BR001A;13
SWAP;SWAP17.2;SWAP010;17.21;BR002A;2
SWAP;SWAP17.2;SWAP010;17.21;BR003A;9
SWAP;SWAP17.2;SWAP010;17.21;BR006A;21
SWAP;SWAP17.2;SWAP010;17.21;CM004A;1
SWAP;SWAP17.2;SWAP010;17.21;CM017A;4
SWAP;SWAP17.2;SWAP010;17.21;CM048A;3
SWAP;SWAP17.2;SWAP010;17.21;CM9999;12
SWAP;SWAP17.2;SWAP010;17.21;CY9991;55
SWAP;SWAP17.2;SWAP010;17.21;EU002B;3
SWAP;SWAP17.2;SWAP010;17.21;EU004A;3
SWAP;SWAP17.2;SWAP010;17.21;EU009A;32
SWAP;SWAP17.2;SWAP010;17.21;EU014A;2
